text,department,urgency
Request for a few more dustbins in the backyard. People often hang out there in the evening and there's nowhere to throw small wrappers or bottles. One or two extra bins would help keep the grass clean.,Hostels,Low
LMS portal crashed ten minutes before the final project submission deadline. My entire group has been trying to upload our documentation and source code for the last hour but the server keeps timing out. This project is worth 40% of our final grade and the portal is supposed to close at midnight. We need an immediate extension or an alternative email address to send our files.,Academics,High
"Major discrepancy in my end-term marks for Data Structures. The portal shows I have failed the course, but I calculated my internals and they were well above the passing threshold. I suspect my paper was swapped or there was a massive data entry error at the controller’s office. I need to see my evaluated script immediately before the re-registration window closes tomorrow.",Academics,High
Clash in the final exam schedule for two core subjects. Both Operating Systems and Database Management are scheduled for tomorrow morning in the same time slot. I have raised this with the department clerk twice this week but the hall ticket still shows both. I cannot miss either exam as it will result in a year back. Please resolve this conflict and update my schedule now.,Academics,High
"Scholarship verification link is expiring today and my documents are still 'pending' at the HOD office. If the department doesn't digitally sign the verification by 5 PM, I will lose my funding for the next semester and won't be able to pay the tuition. I am standing outside the office but no one is available to help. This is time-critical for my education.",Academics,High
"Professor is refusing to accept my medical certificate for a missed mid-sem. I was hospitalized during the exam and have provided all the official hospital discharge papers and doctor's notes, but the instructor says he has already submitted the marks to the portal. I need the Academic Dean to intervene so I can sit for a make-up test before the semester ends.",Academics,High
"Incorrect grade assigned due to a clerical error in the mark sheet. My internal marks for the lab component were recorded as 0 out of 30, even though I attended every session and submitted all reports. This error has dropped my CGPA significantly, affecting my eligibility for the upcoming placement drive starting on Monday. Please fix the records urgently.",Academics,High
"The proctoring software for my online certification exam is failing to recognize my ID. I am currently in the 15-minute login window and if I don't get in now, the exam will be marked as a forfeit. I have tried three different browsers and restarted my system. I need a bypass code or technical support immediately to save my exam attempt.",Academics,High
Missing hall ticket for the external practicals starting tomorrow. My name is missing from the eligibility list even though I have no dues and 85% attendance. The lab assistant says he cannot let me perform the experiments without the official slip. Please verify my status and issue the hall ticket before the 9 AM batch starts.,Academics,High
"Final year thesis portal is not accepting the 'Turnitin' report. Every time I upload, it says 'Service Unavailable' but the deadline for the final submission is this evening. Without this report, my thesis won't be sent for external evaluation. I need the IT coordinator to reset my submission link or verify the server status immediately.",Academics,High
Wrong question paper distributed during the current minor exam. We are sitting in the hall for 'Theory of Computation' but the paper provided is for 'Compiler Design'. The invigilator is not allowing us to leave or talk. This is wasting our limited time and causing immense stress. Someone from the academics cell needs to bring the correct papers now.,Academics,High
"Digital signature failed on my provisional degree certificate. I need this document for a visa interview scheduled for tomorrow morning. The copy I downloaded has an 'Invalid' watermark on the university seal. I need a corrected, verified PDF sent to my registered email within the next hour.",Academics,High
"Attendance portal shows 'Shortage' despite attending all remedial classes. I was told these extra sessions would clear my debarment, but the system hasn't updated and I am being blocked from downloading my end-term admit card. The exams start the day after tomorrow. I need a manual override from the department head.",Academics,High
"Credit transfer from my MOOC course was rejected without reason. I completed the NPTEL certification as per the university guidelines to replace a core elective. Today is the last day to finalize credits for the graduation list. If this isn't added, I won't have enough credits to graduate this year. Urgent review requested.",Academics,High
"The lab evaluation for the afternoon batch was cancelled due to a power cut but the marks have been uploaded as 'Absent'. We were told the viva would be rescheduled, but the portal is already finalized. We need the marks removed and the session rescheduled before the internal marks are frozen tonight.",Academics,High
SSO login loop preventing access to the course selection portal. The elective registration opened at 10 AM and the popular courses are filling up in minutes. I am stuck on the login screen while my peers are already finishing their selections. This is unfair and I need my account access restored before all seats are gone.,Academics,High
"Harassment from a faculty member during the viva-voce. The examiner was making personal comments and used unprofessional language, then threatened to fail me regardless of my answers. I want to lodge a formal complaint and request a re-evaluation with a different panel before the results are finalized.",Academics,High
Plagiarism flag on a completely original assignment. The software claims 90% similarity with a paper that doesn't exist. The professor has given me a 'zero' and reported me to the disciplinary committee. I have a hearing tomorrow and I need the raw log files from the academic server to prove it was a system glitch.,Academics,High
"University email account deactivated during the job application window. I am expecting interview invites and test links on my student ID, but I can't log in. This is the peak of placement season and being locked out for even a day could cost me a job. Please reactivate the account immediately.",Academics,High
"Payment for the backlog exam was deducted but the status is still 'Unpaid'. The registration portal closes in two hours. If I don't get the confirmation, I won't be able to sit for the carry-over paper this semester. I have the bank transaction ID and need a manual update to my profile.",Academics,High
Course coordinator changed the project requirements 24 hours before the submission. We have spent two months on the original brief and it is impossible to redo the entire architecture in one day. This will lead to a mass failure for the entire batch. We need the original rubric restored or a one-week extension.,Academics,High
"Lost my physical answer script for the internal test. The teacher says she doesn't have it, but I signed the attendance sheet in the exam hall. I refuse to take a zero for a mistake made by the department. We need to find the paper or allow me a retest with full marks potential.",Academics,High
Calculated SGPA on the result portal is mathematically incorrect. It shows a 6.5 when it should be an 8.2 based on the grades displayed. This is a critical error in the portal's logic that is affecting the entire branch's ranking. Please pause the results and recalculate before the official transcripts are printed.,Academics,High
The link for the online end-term viva is not working. There are 20 students waiting in the virtual lobby but the external examiner is not present and the link says 'Meeting Ended'. This was our only chance to finish the lab component. We need a new link and a status update now.,Academics,High
"Security token for the academic portal is not being sent to my phone. I need to register for the supplementary exams by tonight. Without the OTP, I can't even enter the site. I've tried multiple times and checked my network. Please send the code to my email instead.",Academics,High
Degree name is misspelled on the final convocation list. It says 'BTech CSE' instead of 'BTech CSE (AI & ML)'. I have paid for the specialized degree and this must be corrected before the certificates go to print this afternoon.,Academics,High
"The reference books mentioned in the syllabus are not available in the central library. There is only one copy for a batch of 120 students, and it has been issued for the last month. We have a research paper due next week and cannot complete the bibliography. Please order more copies or provide an e-book link.",Academics,Medium
Inconsistency in the lecture schedule for the third-floor seminar hall. Sometimes the class is moved to a different block without any notice on the portal or the notice board. We waste 15 minutes of the lecture just wandering around looking for the professor. Can we have a stabilized timetable?,Academics,Medium
The microphone in LT-2 is constantly buzzing during the Advanced Algorithms class. We can barely hear the professor's explanations from the back rows. This has been an issue for two weeks and the technician hasn't fixed it despite several verbal complaints. It’s affecting our understanding of complex topics.,Academics,Medium
Internal marks for the Python lab have not been uploaded even though the semester is almost over. We have no idea where we stand in terms of our internals and it’s making it hard to prioritize our study plan for the finals. Can the department ensure the instructor updates the portal by this Friday?,Academics,Medium
The elective 'Cloud Computing' was cancelled after we already attended three lectures. Now we are being told to choose a different course that clashes with our existing lab sessions. The academic office needs to provide a better alternative or adjust the lab timings to accommodate us.,Academics,Medium
"Professor is taking extra classes during the lunch break every day. We don't have enough time to eat or refresh between the morning and afternoon sessions. While we appreciate the extra help, it’s becoming physically draining. Can these sessions be moved to the official 'zero' hour?",Academics,Medium
The study material provided on the LMS for 'Theory of Computation' is just a series of scanned images that are unreadable. We cannot search for keywords or use screen readers. Could the department provide proper digital PDFs or a standard textbook reference that matches the slides?,Academics,Medium
Waitlist for the 'Machine Learning' elective hasn't moved in two weeks. I am at position #2 and there are several students who have dropped the course. The system isn't automatically pulling people from the waitlist into the enrolled list. Please manually update the roster.,Academics,Medium
The rubric for the final year project is very vague. We don't know the weightage for the implementation versus the documentation. Different guides are telling us different things. We need a standardized evaluation sheet so we can prepare our presentation accordingly.,Academics,Medium
"The air conditioning in the main computer lab is not working. With 60 systems running, the room gets incredibly hot and the computers are starting to lag due to thermal throttling. It’s hard to focus on our coding assignments for more than 30 minutes. Please repair the cooling system.",Academics,Medium
Feedback for the first assignment was never provided. We have already submitted the second assignment without knowing what we did wrong in the first one. This defeats the purpose of continuous evaluation. Please ask the TA to release the comments and marks as soon as possible.,Academics,Medium
"The guest lecture series on 'Blockchain' was scheduled during our mid-term week. Most of us couldn't attend because we were studying. Since this was a mandatory part of our professional development credits, can the recordings be uploaded to the portal?",Academics,Medium
Request for a change in the lab partner for the OS project. My current partner has not attended a single session and is not responding to any communications. I cannot finish the multi-threaded application alone. I would like to join another group or work solo if possible.,Academics,Medium
"The industrial visit planned for this semester has been postponed three times. We have already paid the registration fee and arranged for our own transport to the hub. We need a clear, final date and an itinerary, or a full refund of the collected fees.",Academics,Medium
"The software required for the 'Digital Image Processing' lab is not installed on the systems. We were told it would be ready by the second week, but we are still using trial versions that expire every few days. This is interrupting our practical work.",Academics,Medium
"The academic calendar on the website is different from the one sent via email. One shows the mid-semester break starting next Monday, while the other shows it starting the following Friday. We need a clarification so we can book our travel tickets home.",Academics,Medium
The projector in Room 402 has a very dim lamp. The slides are barely visible even with the lights turned off. This is a core theory room and we have four lectures there every day. Please replace the bulb or the projector unit.,Academics,Medium
"My attendance for the 'Professional Communication' class was marked 'Absent' for the entire last week, even though I was present. I checked the manual register and my signature is there. The faculty says I need to contact the portal admin to get it corrected.",Academics,Medium
The question bank provided for the 'Microprocessor' course contains several errors in the solved examples. Students are getting confused while practicing for the internals. Can a corrected version be vetted by a senior faculty member and re-uploaded?,Academics,Medium
"The 'Add/Drop' link for courses is not appearing on my student dashboard. My friends are able to see it and change their electives, but my page just shows an error. I need to swap one of my subjects before the deadline on Wednesday.",Academics,Medium
Request for a special doubt-clearing session for 'Discrete Mathematics'. The last few topics like Graph Theory were covered very quickly and most of the batch is struggling with the practice problems. A two-hour weekend session would be very helpful.,Academics,Medium
The digital library access through the VPN is extremely slow. It takes minutes to download a single research paper from IEEE Xplore. This is hampering our literature survey for the final year project. Is there a way to improve the bandwidth for the library gateway?,Academics,Medium
The internship NOC (No Objection Certificate) request has been sitting with the department for a week. The company needs the signed document to finalize my joining date. I have already provided the offer letter. Please expedite the signature process.,Academics,Medium
"There is a lot of background noise in the pre-recorded lectures for 'Software Engineering'. We can hear construction sounds and other people talking, which makes it very hard to follow the instructor. Could the audio be cleaned up or the videos re-recorded?",Academics,Medium
"The laboratory manuals for the 'Analog Electronics' lab have not been distributed yet. We are being asked to write our journals based on verbal instructions, which is leading to many mistakes. Can we get the official PDF guides by the next lab session?",Academics,Medium
The seating plan for the minor exams is very congested. There is almost no space to keep our stationery or calculators without them falling off the desks. Can the department use a larger hall or leave an empty seat between students?,Academics,Medium
The course coordinator for 'Human Values' is not responding to emails regarding the group project. We have a question about the case study but haven't received a reply in five days. We need guidance before we proceed with the final report.,Academics,Medium
The Wi-Fi signal in the study hall of Block 2 is very weak. We use that space for group studies between classes but we can't access any online resources or the LMS. A signal booster or a new access point is needed in that area.,Academics,Medium
"Request for a copy of the previous year's question papers for the new elective 'Cyber Laws'. Since this is the first time it’s being offered, we don't have any reference for the exam pattern. Any sample papers or mock tests would be greatly appreciated.",Academics,Medium
The water dispenser near the main auditorium is always empty during the afternoon lectures. It’s the only one in that wing and students have to walk to the other side of the building for water. Can the refilling frequency be increased?,Academics,Medium
"The 'Outcomes' section on my transcript is blank for the last semester. Even though the grades are there, the 'Credits Earned' column shows zero. This is a technical bug that needs to be fixed before I apply for my internship.",Academics,Medium
The seminar on 'Career Opportunities in AI' was overbooked. Many of us had registered but were turned away at the door because the room was full. Can the department organize a second session or move it to the main auditorium?,Academics,Medium
The faculty advisor has changed three times this semester. Every time we have to explain our project progress and academic issues to a new person from scratch. We need a stable mentor for the rest of the academic year.,Academics,Medium
"The grading scale for the 'Data Science' course was changed mid-way through the semester. We were originally told it would be a relative grading system, but now it’s been moved to absolute. This significantly changes how we need to perform to get an 'A'.",Academics,Medium
"The late-entry policy for the 8 AM lecture is being applied inconsistently. Some students are allowed in at 8:15 while others are marked absent at 8:05. We need a clear, uniform rule for the entire department to avoid confusion.",Academics,Medium
"The font size used in the 'Computer Networks' slides is very small. Even from the middle of the classroom, it’s hard to read the diagrams and text. It would be helpful if the professor could use a larger font or share the slides before the class.",Academics,Low
Suggestion to add more charging ports in the library's individual study cubicles. Most of us work on laptops for long hours and there are only a few desks with working power outlets. It would make the space much more functional.,Academics,Low
"The 'News' section on the student portal hasn't been updated since last month. Old event flyers are still pinned to the top, making it hard to find the latest academic notices. A quick cleanup of the landing page would be appreciated.",Academics,Low
The staplers provided in the assignment submission room are always out of pins. It’s a small inconvenience but it would be great if the department could keep a small stock of staples there for the students.,Academics,Low
Request to extend the library hours during the week before the mid-semester exams. Closing at 8 PM is a bit early when we have back-to-back tests. Staying open until 10 PM for just that one week would be a huge help.,Academics,Low
The chalk used in the 'Basic Electrical' class is very dusty and leaves a lot of residue on the front-row desks. Maybe the department could switch to dust-free chalk or provide whiteboards for the older classrooms?,Academics,Low
The 'Academic Handbook' PDF on the website has a few broken links in the table of contents. You have to scroll manually through 50 pages to find the relevant section. Fixing the internal links would make it easier to navigate.,Academics,Low
"Can we have a few more benches in the shaded area outside the CSE block? It’s a popular spot for students to sit and discuss assignments between lectures, but there isn't enough seating for everyone.",Academics,Low
The automated voice on the university's academic helpline is a bit too fast. It’s hard to follow the menu options for result inquiries. Slowing down the recording slightly would make the system more user-friendly.,Academics,Low
Suggestion to organize a small workshop on 'LaTeX' for the first-year students. Most of us are struggling with formatting our lab reports and a basic one-hour introductory session would be very beneficial.,Academics,Low
"The clocks in the East Wing classrooms are not synchronized. Some are a few minutes behind others, which makes it confusing to know exactly when the lecture is supposed to end. A quick battery check and sync would be good.",Academics,Low
"The water cooler in the faculty wing is much colder than the ones in the student areas. It would be nice if the student coolers could be adjusted to the same temperature, especially during the summer months.",Academics,Low
Request for a designated 'Quiet Zone' in the department lobby. It’s a good place to read between classes but it gets very noisy when people are talking loudly on their phones. A few 'Silence Please' signs might help.,Academics,Low
The markers used in the tutorial rooms are often dried out. It would be helpful if the department could provide a fresh set to the class representatives at the start of each month to ensure the board work is visible.,Academics,Low
"Can the department post the 'Faculty Office Hours' on the doors of the staff rooms? Currently, we have to keep checking or asking around to know when a professor is available for doubt clearing.",Academics,Low
"The 'Career Counseling' emails are sent too frequently, sometimes three in a day. It would be better if they could be consolidated into a single weekly newsletter so our inboxes don't get cluttered with identical info.",Academics,Low
The lighting in the back corner of the library is a bit dim for reading. A single extra tube light or a stronger bulb in that area would make it a much better spot for focusing on our textbooks.,Academics,Low
Suggestion to add a 'Feedback' button directly on the LMS for each lecture. It would be an easy way for students to let the professor know if they found a particular topic too fast or too slow in real-time.,Academics,Low
"The paper quality of the internal test sheets is very thin. Ink from gel pens often bleeds through to the other side, making it messy to write on both pages. Using a slightly thicker paper would be better.",Academics,Low
The 'Academic Achievement' board in the main hallway hasn't been updated with this year's winners. It would be motivating for the current students to see the latest photos and projects displayed there.,Academics,Low
Request for a digital map of the academic blocks to be added to the student app. The campus is large and new students often get lost trying to find specific labs or faculty rooms in the first few weeks.,Academics,Low
The door to the 'Advanced Coding Lab' is very heavy and makes a loud slamming noise when it closes. A simple door closer or a rubber bumper would prevent the noise from disrupting the students working inside.,Academics,Low
"Can we have more trash cans specifically for paper waste in the printer room? Most of the bins are filled with plastic bottles, making it hard to collect the discarded paper for recycling.",Academics,Low
The 'Student Profile' section on the portal doesn't allow us to upload a new photograph. The one from our first year is quite old and we’d like to update it with a more professional one for our IDs.,Academics,Low
The chairs in the 'Communication Lab' are a bit squeaky. It’s a minor distraction during presentations when everyone is moving around. A bit of oiling on the chair bases would probably fix the issue.,Academics,Low
Suggestion to add a 'Common Abbreviations' sheet to the 'Project Management' course. There are a lot of acronyms used in the lectures and a quick reference guide would be helpful for the new students.,Academics,Low
"The blinds in Room 305 are stuck and cannot be fully closed. This causes a glare on the whiteboard during the afternoon sessions, making it hard to see the professor's notes. A quick repair of the pulley would help.",Academics,Low
The water fountain in the sports wing of the academic block has a very low arc. It’s hard to drink from it directly without touching the metal. Adjusting the water pressure slightly would be more hygienic.,Academics,Low
"Request for more frequent cleaning of the whiteboards in the student lounge. They are often left with old marker stains from previous days, making it hard for new groups to use them for brainstorming.",Academics,Low
"The 'Course Evaluation' forms are a bit too long. If they were simplified to 5-6 key questions, more students would likely take the time to provide thoughtful feedback at the end of the semester.",Academics,Low
"The hand sanitizer dispenser outside the main library has been empty for a few days. It’s a good habit to use it before entering the common area, so it would be great if it could be refilled.",Academics,Low
"Can we have a small 'Book Exchange' shelf in the department lobby? Students could leave their old textbooks or novels for others to read, promoting a culture of sharing within the branch.",Academics,Low
"The notices on the bulletin board are often pinned on top of each other. It would be better if the older, expired notices were removed weekly to make room for the new academic announcements.",Academics,Low
"The 'Digital Notice Board' in the entrance hall has a few dead pixels. It’s not affecting the readability yet, but it’s a bit distracting when watching the departmental news scrolls.",Academics,Low
Request for a clock to be installed in the outdoor 'Open Classroom' area. We often have informal tutorials there and it’s hard to keep track of the time without checking our phones constantly.,Academics,Low
The 'Study Group' sign-up sheets on the wall are always falling off because of the wind. Using a proper clipboard or a magnetic board would keep the information more secure for the students.,Academics,Low
"Suggestion to add a 'Language of the Week' corner in the CSE block, showing simple code snippets in different programming languages. It would be a fun, low-key way to spark interest in new tech.",Academics,Low
The soap in the academic block washrooms has a very strong scent. A more neutral or unscented soap would be better for students who are sensitive to strong fragrances in enclosed spaces.,Academics,Low
The floor in the 'Microbiology' theory room is a bit slippery when wet. A 'Caution' sign or a more absorbent mat at the entrance during rainy days would prevent any accidental slips.,Academics,Low
"Can we have a few more coat hooks in the seminar hall? When it’s raining, everyone has wet jackets and there’s nowhere to hang them except over the back of the chairs, which makes the seats damp.",Academics,Low
"Double deduction on the tuition fee portal today. I tried paying my semester dues of 45,000 via the gateway, but the first transaction showed a timeout. I tried again and now both amounts have been debited from my father's bank account. This is our entire savings for the month and we need the extra 45,000 reversed immediately to pay for medical bills. Please verify the transaction IDs and initiate the refund.",Fees / Finance,High
"Scholarship disbursement missing for the final semester. My name was on the approved list for the merit-cum-means grant, but the funds haven't hit my bank account. Today is the last date to clear all dues to be eligible for the placement drive starting tomorrow morning. If my balance isn't cleared by 5 PM, I will be blocked from the interview. Please check the disbursement status urgently.",Fees / Finance,High
"Hostel fee payment not reflecting on the portal despite successful bank transfer. I have the UTR number and the bank confirmation, but the accounts office still says my 'No Dues' certificate is pending. Curfew for the convocation registration is tonight and I can't apply without this clearance. I've been running between the bank and the finance desk all day with no resolution.",Fees / Finance,High
"Wrongful 'Defaulter' tag on my student ID. The system claims I owe 12,000 in library fines and lab breakages from three years ago, which is completely false. Because of this error, my final degree is being withheld and I have a visa interview in two days where I must present my original transcripts. Please clear this ghost balance so I can collect my documents.",Fees / Finance,High
Bank loan disbursement rejected due to incorrect university account details. The finance office provided a bank branch code that is no longer active. My education loan has been stalled and the bank says they will cancel the sanction if the correct details aren't provided by this evening. I cannot afford the semester fees out of pocket. I need the corrected bank mandate immediately.,Fees / Finance,High
"Convocation fee portal is charging me twice the amount listed in the brochure. Today is the absolute last day to register for the ceremony and I don't have the extra funds. If I don't pay now, I won't get my degree on stage. Please fix the price logic for my roll number before the portal closes at midnight.",Fees / Finance,High
"Finance portal showing 'Transaction Failed' but money deducted from UPI. I paid the supplementary exam fee of 1,500 just now. The exam starts in two hours and the invigilator says I need a 'Paid' status to enter the hall. I have the screenshot of the deduction but the system is stuck. Please manually verify and update my status so I don't miss the test.",Fees / Finance,High
"Incorrect late fee penalty applied to my account. I paid my dues on the 10th, which was the deadline, but the system recorded it as the 11th and added a 2,000 fine. This fine is preventing me from downloading my hall ticket for tomorrow's external viva. Please remove the penalty and unlock my admit card.",Fees / Finance,High
"Urgent: Refund for cancelled course not processed after 6 months. I withdrew from the elective with full approval, but the 8,000 fee is still sitting as a 'Credit' in the portal. I need this money for my commute this week. I've sent ten emails with no response. I am coming to the office today for a cheque or an immediate transfer.",Fees / Finance,High
"Financial block on my account prevents me from accessing the LMS for the mid-sem test. The portal says I have an outstanding balance of 500, which is a mistake as I have already cleared all dues. The test starts in 30 minutes. If I can't log in, I'll get a zero. Please clear the block immediately.",Fees / Finance,High
"Placement registration blocked due to 'Incomplete Fee' status. My bank statement shows all payments are up to date, but the accounts branch says there's a 50 rupee discrepancy from 2023. This tiny error is stopping me from applying to the Top 3 companies visiting campus tomorrow. Please resolve this technical glitch now.",Fees / Finance,High
"Backlog registration fee deducted thrice. The server crashed while I was trying to register for my re-exams. Now 4,500 is gone instead of 1,500. I need those funds back to pay for my mess bill which is due today. Please check the logs and initiate the reversal of the two extra charges.",Fees / Finance,High
"Major error in the fee structure for International Students. The portal is calculating my dues in USD but using a conversion rate from five years ago, making it 20% higher than the current market rate. I have to pay by tonight to avoid de-enrollment. Please update the exchange rate logic for the payment gateway.",Fees / Finance,High
"NOC not issued due to unverified 'Late Fine'. I cleared all my library and hostel fines last month, but the finance clerk says the 'Sync' hasn't happened. I am graduating and moving out of the state tomorrow morning. I need my No Objection Certificate today or I won't be able to collect my security deposit.",Fees / Finance,High
"Transaction ID mismatch for semester payment. I used a third-party app to pay the fees and while the bank says 'Success', the university portal doesn't recognize the ID format. The deadline is in one hour. If it's not resolved, I'll be charged a 5,000 late fine. Please assist in manual mapping.",Fees / Finance,High
"Identity theft alert: Someone else used my student ID to pay their fees via a stolen card, and now my account is flagged for fraud. I am being threatened with suspension. I need the finance department to verify the payment source and clear my name before the hearing tomorrow.",Fees / Finance,High
"Excess fee payment for the lab component. I accidentally added an extra zero and paid 50,000 instead of 5,000. My parents are extremely upset as this was for our home rent. I need the 45,000 refunded to the source account within 24 hours.",Fees / Finance,High
"The university's online payment server is down on the last day of fee submission. Thousands of us are trying to pay but getting 404 errors. If the deadline isn't extended by tonight, we will all be hit with late fines. Please confirm the extension or fix the server.",Fees / Finance,High
"Missing mess-off refund from the previous break. I stayed home for a month during the holidays and filed the paperwork, but the credit isn't showing. I need that 3,000 to pay for my current month's food bill or I'll be barred from the mess hall tonight.",Fees / Finance,High
"Tuition waiver not applied to my profile. As a staff-child, I am entitled to a 50% discount, but the portal shows the full amount of 1.2 lakhs. The payment link expires this evening. I need the corrected invoice before I can make the payment.",Fees / Finance,High
"Bank challan not accepted at the counter. I stood in line for three hours only to be told the format changed this morning. No one informed the students. I have the cash and the old form, and today is the deadline. Please accept the payment or provide a grace period.",Fees / Finance,High
"Emergency refund needed for medical withdrawal. My brother is undergoing surgery and I need to withdraw my admission to support my family. Today is the final eligibility day for a full refund. If this isn't processed today, I lose 2 lakhs. Please expedite the file.",Fees / Finance,High
"Finance office lost my original demand draft. I submitted it last week for the exam fee and have the receipt, but now they say they can't find it and I need to pay again or I won't be allowed in the exam hall. I cannot afford to pay twice. Please find the DD or accept my receipt as proof.",Fees / Finance,High
"System error: Scholarship adjusted against the wrong semester. The 20,000 grant was supposed to cover this semester's tuition, but it was applied to a future semester instead. Now I have a 'Due' of 20,000 and I am being blocked from the library. Please fix the allocation today.",Fees / Finance,High
The ATM inside the campus swallowed my card while I was trying to withdraw fee money. The bank branch says they need an official letter from the University Finance Head to release the machine logs and give me my card back. I need this today as all my funds are tied to that account.,Fees / Finance,High
"Request for a breakdown of the 'General Amenities' fee. Every year we pay 15,000 for this but there is no transparency on what it covers. The gym is broken and the common rooms are dusty. We would like an itemized list of where this money is being spent before the next installment is due.",Fees / Finance,Medium
"The fee receipt generated by the portal is missing the university seal. I need to submit this to my father's office for his HRA and education allowance, but they rejected the current PDF. Can the finance department provide a digitally signed version with the official stamp?",Fees / Finance,Medium
"Delay in refunding the caution money for passed-out students. It has been three months since I submitted my bank details for the 10,000 security deposit return. All my batchmates have received theirs but mine is still 'In Process'. Please check the status of my application.",Fees / Finance,Medium
"The 'Pay in Installments' option is not appearing on my dashboard. I was told that students with financial difficulties could opt for a 3-part payment plan, but my portal only shows 'Full Payment'. I have already submitted my income certificate to the warden. Please enable the option.",Fees / Finance,Medium
"Discrepancy in the fine calculation for late book return. The library says I owe 450, but the finance portal is showing 1,200. I have the return slips showing the actual dates. The accounts branch needs to sync the data with the library system to reflect the correct amount.",Fees / Finance,Medium
"Scholarship status remains 'Pending' for over a month. I've submitted all the documents for the state scholarship, but the university hasn't forwarded my application to the government portal yet. If this delay continues, the government portal will close. Please expedite the verification.",Fees / Finance,Medium
"The fee payment history on my student profile is incomplete. It shows payments for the 1st and 3rd years, but the 2nd-year data is missing even though I have the physical receipts. This could cause issues during my final clearance next semester. Can you update the digital record?",Fees / Finance,Medium
"Inquiry regarding the 'Development Fee' hike. We noticed a 10% increase in the current semester's bill without any prior notice or explanation. As students, we would like to know the reason for this sudden change, especially since the campus facilities remain the same.",Fees / Finance,Medium
The ATM on campus has been 'Out of Cash' for three consecutive days. This is the only way for many of us to pay for small expenses and some of the smaller lab fees that are cash-only. Can the finance department coordinate with the bank to ensure it's refilled?,Fees / Finance,Medium
Need a duplicate copy of the first-semester fee challan. I lost my original file and the bank requires a copy to process my current loan top-up. The online portal doesn't show records that old. Can the accounts office issue a stamped duplicate this week?,Fees / Finance,Medium
"Request to adjust excess mess fees against the next semester's tuition. I have a credit of 4,000 from the last semester and instead of a refund, I'd prefer it to be used to reduce my next bill. I was told I need a written request for this. Please confirm if this is approved.",Fees / Finance,Medium
The 'Finance Helpdesk' phone number is never answered. I have been calling for three days to ask about my scholarship status and it just rings or goes to voicemail. It’s very difficult for us to keep visiting the office during lecture hours just for small queries.,Fees / Finance,Medium
Inconsistency in the 'Convocation Fee' for regular vs. distance students. Some of my friends are being charged less for the same degree. We need a clear clarification on the pricing policy for the 2025 batch to ensure everyone is being billed fairly.,Fees / Finance,Medium
"The online payment gateway charges a 2% convenience fee for credit cards. This adds up to nearly 2,000 rupees on a full semester bill. Are there any plans to introduce a zero-fee payment method like IMPS or a direct university bank transfer for the students?",Fees / Finance,Medium
Difficulty in generating a 'No Dues' certificate for a semester break. I am taking a medical leave and need to show I've cleared all finances. The portal says I have 'Library Dues' but the library says I'm clear. This cross-departmental sync is taking forever.,Fees / Finance,Medium
"The 'Fee Structure' PDF on the website is outdated. It still shows the 2023 rates, which is confusing for those of us trying to plan our finances for the upcoming year. Can the accounts department upload the 2025-26 fee schedule as soon as possible?",Fees / Finance,Medium
Request for a formal letter from the finance office for an external scholarship. The NGO providing my funding needs a letter on university letterhead stating my total annual expenses. I have the format ready. When can I pick this up?,Fees / Finance,Medium
"The 'Fine Waiver' request I submitted last week hasn't been processed. I was ill and couldn't pay the mess dues on time, and I provided a doctor's note to the accounts manager. The 500 late fine is still there. Can someone please review the case?",Fees / Finance,Medium
Duplicate entry in the 'Misc Fees' section. I've been billed for 'ID Card Replacement' twice this month even though I only requested it once and paid at the counter. Please remove the second charge of 250 from my outstanding balance.,Fees / Finance,Medium
"Need clarification on the 'Alumni Fund' charge. I am only in my second year but I see a 1,000 rupee deduction for the alumni association. Is this an annual charge or a one-time thing? It wasn't mentioned in the original prospectus we received.",Fees / Finance,Medium
"The bank branch inside the campus is understaffed. During the fee-payment week, the queues are so long that students are missing 2-3 lectures just to get a challan stamped. Can the finance office request the bank to open an extra counter during peak hours?",Fees / Finance,Medium
"My 'Fee Receipt' shows the wrong course name. It says 'B.Sc' instead of 'B.Tech', which is causing issues with my education loan provider as they think I've changed my stream. I need a corrected receipt with the right department name.",Fees / Finance,Medium
"The 'Direct Debit' setup for my monthly mess bill failed this month. I have enough balance in my account, so the issue might be on the university's end. I don't want to be hit with a late fine for a technical error. Please check the mandate status.",Fees / Finance,Medium
Request for a 'Fee Concession' form for siblings studying in the same university. My younger sister just joined the Architecture department and we were told there's a family discount. Where can we download the form and what are the required documents?,Fees / Finance,Medium
"The finance portal doesn't allow for partial payments. I want to pay 20,000 now and the rest next week, but the gateway only allows the full amount to be entered. This is a problem for students who are waiting for their parents' salaries to be credited.",Fees / Finance,Medium
"Inquiry about the 'Caution Money' interest. Since the university holds our 10,000 deposit for four years, we would like to know if that interest is used for student welfare or if it's credited back to us. This was a point of discussion in the last student council meeting.",Fees / Finance,Medium
The 'Late Fee' keeps increasing every day even though the bank was closed for a public holiday. We couldn't make the transfer because the servers were down and the branch was shut. We request a two-day extension on the grace period for the July batch.,Fees / Finance,Medium
"My scholarship amount was credited but it's 2,000 less than the sanctioned amount. Is there a processing fee or a tax deduction that I wasn't aware of? I need an itemized statement of the disbursement for my personal records.",Fees / Finance,Medium
